127.0.0.1 - - [17/May/2026:17:13:41 +0545] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [17/May/2026:17:13:46 +0545] "GET /uniquebooks/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2026:17:13:46 +0545] "GET /uniquebooks/login HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [17/May/2026:17:13:48 +0545] "GET /uniquebooks/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2026:17:13:48 +0545] "GET /uniquebooks/login HTTP/1.1" 200 3602
0:0:0:0:0:0:0:1 - - [17/May/2026:17:13:58 +0545] "POST /uniquebooks/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2026:17:13:58 +0545] "GET /uniquebooks/home HTTP/1.1" 200 11411
0:0:0:0:0:0:0:1 - - [17/May/2026:17:14:00 +0545] "GET /uniquebooks/about HTTP/1.1" 200 8733
0:0:0:0:0:0:0:1 - - [17/May/2026:17:14:00 +0545] "GET /uniquebooks/static/images/team1.png HTTP/1.1" 200 11923
0:0:0:0:0:0:0:1 - - [17/May/2026:17:14:00 +0545] "GET /uniquebooks/static/images/team2.png HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [17/May/2026:17:14:00 +0545] "GET /uniquebooks/static/images/team6.jpg HTTP/1.1" 404 481
0:0:0:0:0:0:0:1 - - [17/May/2026:17:14:00 +0545] "GET /uniquebooks/static/images/team5.jpg HTTP/1.1" 404 481
0:0:0:0:0:0:0:1 - - [17/May/2026:17:14:00 +0545] "GET /uniquebooks/static/images/team4.jpg HTTP/1.1" 404 481
0:0:0:0:0:0:0:1 - - [17/May/2026:17:14:00 +0545] "GET /uniquebooks/static/images/team3.jpg HTTP/1.1" 404 481
